"Reference","product number","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AUX_12V1","WM1917-ND","1","GND","","","","Connector_Molex:Molex_Mega-Fit_76825-0002_2x01_P5.70mm_Horizontal","~"
"C1,C2,C3,C4","1276-1003-1-ND","4","0.1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C5","1276-1244-1-ND","1","4.7 uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C6","1276-2396-1-ND","1","1 uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"GPIO6","","1","GPIO7","","","","Connector_Molex:Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal","~"
"J2","","1","Conn_01x04_Socket","","","","Connector_Molex:Molex_Micro-Fit_3.0_43650-0400_1x04_P3.00mm_Horizontal","~"
"KEYSW_EXT1","WM1863-ND","1","Conn_01x05_Socket","","","","Connector_Molex:Molex_Micro-Fit_3.0_43650-0500_1x05_P3.00mm_Horizontal","~"
"Q1","","1","NMOS","","","","NX7002AK_215:SOT95P230X110-3N","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs"
"R1,R2,R3,R4","P100KADCT-ND","4","100k","","","","Resistor_SMD:R_0805_2012Metric","~"
"TP1,TP2,TP3,TP4,TP5","","5","TestPoint","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"U1","","1","SN74LVC1G332DCKR","","","","SN74LVC1G332DCKR:SOT65P210X110-6N",""
"U3","  2449-ANT13SECQE-ND","1","ANT13SECQE","","","","ANT13SECQE:ANT13SEC_CRS","ANT13SECQE"
"VR1","TS9011SCXRFGCT-ND","1","TS9011SCX_RFG","","","","TS9011SCX_RFG:VREG_TS9011SCX_RFG","https://www.digikey.com/en/products/detail/taiwan-semiconductor-corporation/TS9011SCX-RFG/7359865"
